station,lat,lon,mag_abs,time,LINE,MARK
0,20,640,53660.917,10232,4,32
1,20,620,48937.675,10005,4,31
2,20,600,48912.468,9978,4,30
3,20,580,48975.54,9966,4,29
4,20,560,48958.203,9953,4,28
5,20,540,48934.657,9937,4,27
6,20,520,48918.2,9925,4,26
7,20,500,48974.939,9912,4,25
8,20,480,48933.617,9901,4,24
9,20,460,48934.713,9888,4,23
10,20,440,48968.876,9876,4,22
11,20,420,48964.104,9859,4,21
12,20,400,48959.384,9838,4,20
13,20,380,48903.952,9812,4,19
14,20,360,48764.29,9780,4,18
15,20,340,48932.468,9748,4,17
16,20,320,48940.167,9551,4,16
17,20,300,48943.906,9294,4,15
18,20,280,48891.6,9268,4,14
19,20,260,48935.673,9247,4,13
20,20,240,48903.943,9226,4,12
21,20,220,48917.108,9208,4,11
22,20,200,48838.506,9187,4,10
23,20,180,48854.819,9163,4,9
24,20,160,48881.365,9142,4,8
25,20,140,48902.117,9119,4,7
26,20,120,48912.846,9100,4,6
27,20,100,49137.335,9083,4,5
28,20,80,48897.801,9063,4,4
29,20,60,49000.334,9041,4,3
30,20,40,49074.997,9011,4,2
31,20,20,48807.804,8994,4,1
32,20,0,48948.571,8931,4,0
33,15,0,48799.251,8914,3,23
34,15,20,49053.853,8054,3,22
35,15,40,48927.253,8030,3,21
36,15,60,49209.546,8015,3,20
37,15,80,49019.118,7998,3,19
38,15,100,49022.3,7982,3,18
39,15,120,49032.416,7963,3,17
40,15,140,48986.375,7944,3,16
41,15,160,48959.516,7926,3,15
42,15,180,48902.496,7906,3,14
43,15,200,49002.812,7890,3,13
44,15,220,48929.167,7877,3,12
45,15,240,49300.355,7817,3,11
46,15,260,48663.209,7797,3,10
47,15,280,48787.914,7781,3,9
48,15,300,48655.114,7761,3,8
49,15,320,48675.369,7744,3,7
50,15,340,48629.758,7731,3,6
51,15,360,48592.094,7719,3,5
52,15,380,48503.94,7706,3,4
53,15,400,48547.167,7693,3,3
54,15,420,48678.375,7680,3,2
55,15,440,48517.064,7666,3,1
56,15,460,48990.756,7553,3,0
57,10,1560,48914.268,7523,2,78
58,10,1540,48918.625,6639,2,77
59,10,1520,48993.597,6541,2,76
60,10,1500,49044.26,6511,2,75
61,10,1480,48828.792,6502,2,74
62,10,1460,48181.919,6491,2,73
63,10,1440,48924.744,6481,2,72
64,10,1420,48607.161,6474,2,71
65,10,1400,48710.793,6468,2,70
66,10,1380,48815.55,6461,2,69
67,10,1360,48571.678,6453,2,68
68,10,1340,48804.478,6441,2,67
69,10,1320,48684.929,6434,2,66
70,10,1300,48544.156,6427,2,65
71,10,1280,48874.605,6418,2,64
72,10,1260,48714.459,6410,2,63
73,10,1240,48645.376,6402,2,62
74,10,1220,48694.002,6393,2,61
75,10,1200,48690.074,6385,2,60
76,10,1180,48757.065,6375,2,59
77,10,1160,48809.907,6368,2,58
78,10,1140,48889.429,6361,2,57
79,10,1120,48916.951,6354,2,56
80,10,1100,48959.234,6348,2,55
81,10,1080,48920.168,6342,2,54
82,10,1060,48898.266,6335,2,53
83,10,1040,48882.035,6327,2,52
84,10,1020,48911.319,6318,2,51
85,10,1000,49065.625,6309,2,50
86,10,980,49110.197,6301,2,49
87,10,960,49022.336,6295,2,48
88,10,940,49151.549,6287,2,47
89,10,920,49584.576,6264,2,46
90,10,900,49574.201,6254,2,45
91,10,880,49473.371,6241,2,44
92,10,860,49413.013,6235,2,43
93,10,840,49372.513,6225,2,42
94,10,820,49310.506,6220,2,41
95,10,800,49191.573,6214,2,40
96,10,780,49142.311,6204,2,39
97,10,760,49047.915,6197,2,38
98,10,740,48946.328,6189,2,37
99,10,720,48942.801,6179,2,36
100,10,700,48957.072,6101,2,35
101,10,680,48916.282,6087,2,34
102,10,660,48949.389,6080,2,33
103,10,640,48995.072,6072,2,32
104,10,620,49144.223,6063,2,31
105,10,600,49137,6055,2,30
106,10,580,49152.348,6045,2,29
107,10,560,49207.246,6039,2,28
108,10,540,49290.063,6032,2,27
109,10,520,49317.861,6026,2,26
110,10,500,49310.574,6020,2,25
111,10,480,49317.269,6013,2,24
112,10,460,49343.541,6006,2,23
113,10,440,49317.303,6001,2,22
114,10,420,49275.863,5994,2,21
115,10,400,49061.51,5987,2,20
116,10,380,49070.381,5981,2,19
