station,lat,lon,mag_abs,time,LINE
0,0,0,48924.496,3813,1
1,0,0,48924.287,3827,1
2,0,0,48754.645,3939,1
3,0,0,48841.894,3967,1
4,0,0,49082.523,3978,1
5,0,0,48751.578,3990,1
6,0,0,48780.409,4001,1
7,0,0,48782.12,4013,1
8,0,0,48742.665,4023,1
9,0,0,48694.236,4033,1
10,0,0,48645.02,4054,1
11,0,0,48763.211,4068,1
12,0,0,48700.045,4083,1
13,0,0,48553.084,4097,1
14,0,0,48635.258,4107,1
15,0,0,48687.697,4118,1
16,0,0,48722.504,4129,1
17,0,0,48769.218,4140,1
18,0,0,48820.805,4151,1
19,0,0,48816.459,4164,1
20,0,0,48601.825,4185,1
21,0,0,48728.741,4198,1
22,0,0,48782.749,4209,1
23,0,0,48820.504,4222,1
24,0,0,48749.868,4231,1
25,0,0,48812.391,4246,1
26,0,0,48536.473,4257,1
27,0,0,48683.153,4274,1
28,0,0,48909.191,4285,1
29,0,0,48799.313,4294,1
30,0,0,48846.908,4311,1
31,0,0,49009.849,4319,1
32,0,0,48986.978,4346,1
33,0,0,48892.789,4359,1
34,0,0,48930.508,4369,1
35,0,0,48977.312,4387,1
36,0,0,0,4398,1
37,0,0,42071.105,4411,1
38,0,0,0,4423,1
39,0,0,48769.653,4435,1
40,0,0,49047.32,4456,1
41,0,0,48916.364,4471,1
42,0,0,48972.548,4497,1
43,0,0,49018.626,4513,1
44,0,0,49715.423,4574,1
45,0,0,48994.92,4587,1
46,0,0,49003.565,4600,1
47,0,0,48966.187,4609,1
48,0,0,48633.183,4618,1
49,0,0,48644.612,4627,1
50,0,0,49122.489,4637,1
51,0,0,49009.409,4668,1
52,0,0,48971.928,4684,1
53,0,0,49086.047,4697,1
54,0,0,49037.299,4710,1
55,0,0,49047.858,4725,1
56,0,0,49047.151,4739,1
57,0,0,48998.347,4752,1
58,0,0,48977.711,4768,1
59,0,0,48941.305,4783,1
60,0,0,48869.243,4797,1
61,0,0,48291.854,4809,1
62,0,0,48978.183,4824,1
63,0,0,48887.793,4837,1
64,0,0,48927.711,4849,1
65,0,0,48910.047,4865,1
66,0,0,48971.087,4876,1
67,0,0,48995.205,4886,1
68,0,0,49002.132,4899,1
69,0,0,49013.069,4912,1
70,0,0,48967.111,4926,1
71,0,0,48921.177,4938,1
72,0,0,48926.361,4952,1
73,0,0,48859.744,4964,1
74,0,0,48893.712,4975,1
75,0,0,48785.679,4984,1
76,0,0,48737.119,4994,1
77,0,0,48723.534,5004,1
78,0,0,48650.52,5013,1
79,0,0,48727.463,5022,1
80,0,0,48620.167,5029,1
81,0,0,48677.786,5038,1
82,0,0,48625.281,5047,1
83,0,0,48700.412,5056,1
84,0,0,48677.703,5062,1
85,0,0,48840.165,5070,1
86,0,0,48597.687,5078,1
87,0,0,48653.286,5088,1
88,0,0,48658.773,5097,1
89,0,0,48784.343,5105,1
90,0,0,48769.396,5136,1
91,0,0,48593.144,5149,1
92,0,0,48837.451,5175,1
93,0,0,48686.173,5343,1
