,x,y,ele,time,group
0,6.268048,50.846463,154.670166,2022/07/09 11:26:40+00,2.0
1,6.268011,50.846628,155.996078,2022/07/09 11:34:28+00,2.0
2,6.268009,50.846623,156.005356,2022/07/09 11:34:35+00,2.0
3,6.267977,50.846393,156.841873,2022/07/09 11:36:03+00,2.0
4,6.267932,50.846355,157.134018,2022/07/09 11:36:31+00,2.0
5,6.267866,50.846307,157.760086,2022/07/09 11:36:41+00,2.0
6,6.267815,50.846271,157.373627,2022/07/09 11:36:51+00,2.0
7,6.267759,50.84622,157.492004,2022/07/09 11:37:04+00,2.0
8,6.267715,50.846164,157.782593,2022/07/09 11:37:15+00,2.0
9,6.267659,50.846118,158.085632,2022/07/09 11:37:25+00,2.0
10,6.267596,50.846053,158.391907,2022/07/09 11:37:36+00,2.0
11,6.26756,50.846014,157.980194,2022/07/09 11:37:57+00,2.0
12,6.267512,50.845984,158.180649,2022/07/09 11:38:11+00,2.0
13,6.267459,50.845938,158.467285,2022/07/09 11:38:25+00,2.0
14,6.267397,50.845888,158.328781,2022/07/09 11:38:39+00,2.0
15,6.267341,50.845839,158.874298,2022/07/09 11:38:50+00,2.0
16,6.267287,50.845784,158.93367,2022/07/09 11:39:01+00,2.0
17,6.267217,50.845761,158.725815,2022/07/09 11:39:11+00,2.0
18,6.267134,50.845733,159.233337,2022/07/09 11:39:23+00,2.0
19,6.267072,50.845695,159.739151,2022/07/09 11:39:33+00,2.0
20,6.267026,50.845648,158.792023,2022/07/09 11:39:46+00,2.0
21,6.266978,50.845598,158.842545,2022/07/09 11:39:59+00,2.0
22,6.266924,50.845544,159.259354,2022/07/09 11:40:20+00,2.0
23,6.266879,50.8455,158.560928,2022/07/09 11:40:32+00,2.0
24,6.26683,50.845441,159.153214,2022/07/09 11:40:45+00,2.0
25,6.266775,50.845397,159.488861,2022/07/09 11:40:55+00,2.0
26,6.266734,50.845359,159.449951,2022/07/09 11:41:09+00,2.0
27,6.266682,50.845324,159.653046,2022/07/09 11:41:21+00,2.0
28,6.266622,50.845277,159.586182,2022/07/09 11:41:36+00,2.0
29,6.266567,50.845238,159.149307,2022/07/09 11:41:47+00,2.0
30,6.26653,50.845202,159.627594,2022/07/09 11:41:57+00,2.0
31,6.266529,50.845154,159.152664,2022/07/09 11:42:14+00,2.0
