,station,lat,lon,field,time,student_id,x,y,times,z_dem,field_alt,anomaly,name
0,0,50.846621,6.268014,48948.571,8931,4,307681.0135010418,5636325.553674749,51314.7,156.68,48948.576301159104,140.7670000000071,5
1,1,50.846446,6.267648,48807.804,8994,4,307654.53274438035,5636307.0513077965,51377.7,156.91,48807.804,0.0,5
2,2,50.846411,6.26754,49074.997,9011,4,307646.7871785216,5636303.441501469,51394.7,157.04,49074.993995954064,267.1930000000066,5
3,3,50.846286,6.267234,49000.334,9041,4,307624.73504239216,5636290.341750655,51424.7,157.45,49000.32154064157,192.5300000000061,5
4,4,50.846181,6.267043,48897.801,9063,4,307610.8593965283,5636279.165966307,51446.7,157.8,48897.780508102835,89.99700000000303,5
5,5,50.846079,6.266868,49137.335,9083,4,307598.12220313126,5636268.282053894,51466.7,158.14,49137.30654100916,329.5310000000027,5
6,6,50.845983,6.266735,48912.846,9100,4,307588.365841125,5636257.955782019,51483.7,158.41,48912.81145247489,105.04200000000128,5
7,7,50.845845,6.266578,48902.117,9119,4,307576.7473144477,5636243.022708114,51502.7,158.81,48902.07324940579,94.31300000000192,5
8,8,50.845652,6.266411,48881.365,9142,4,307564.1984712208,5636222.001081183,51525.7,159.04,48881.31597409813,73.56100000000151,5
9,9,50.84545,6.266335,48854.819,9163,4,307558.01763406536,5636199.741745672,51546.7,159.13,48854.76793033206,47.015000000006694,5
10,10,50.845196,6.266263,48838.506,9187,4,307551.9042439402,5636171.690880404,51570.7,159.4,48838.448738287596,30.702000000004773,5
11,11,50.845014,6.26637,48917.108,9208,4,307558.6864508714,5636151.178133244,51591.7,159.38,48917.051106802384,109.30400000000373,5
12,12,50.844851,6.266515,48903.943,9226,4,307568.2216366661,5636132.678699278,51609.7,159.58,48903.88151662099,96.13900000000285,5
13,13,50.84467,6.266652,48935.673,9247,4,307577.11971130763,5636112.198977379,51630.7,159.63,48935.610324608955,127.86900000000605,5
14,14,50.844486,6.266801,48891.6,9268,4,307586.8501685838,5636091.354479012,51651.7,159.82,48891.53300694297,83.7960000000021,5
15,15,50.844227,6.267029,48943.906,9294,4,307601.8327193223,5636061.966024399,51677.7,160.05,48943.833634627954,136.10200000000623,5
16,16,50.846386,6.268331,48940.167,9551,4,307702.3587402407,5636298.601909415,51934.7,156.91,48940.167,132.36300000000483,5
17,17,50.846262,6.268519,48932.468,9748,4,307715.0810693917,5636284.326603928,52131.7,157.07,48932.464313450786,124.66400000000431,5
18,18,50.846036,6.268945,48764.29,9780,4,307744.13568828796,5636258.091766939,52163.7,157.02,48764.28747420832,-43.513999999995576,5
19,19,50.845823,6.269446,48903.952,9812,4,307778.52298569074,5636233.107141405,52195.7,157.16,48903.94624312385,96.14800000000105,5
20,20,50.845738,6.269633,48959.384,9838,4,307791.33564806945,5636223.170471921,52221.7,157.28,48959.375470166146,151.58000000000175,5
21,21,50.845613,6.269678,48964.104,9859,4,307793.9890956559,5636209.156427828,52242.7,157.39,48964.09293320318,156.3000000000029,5
22,22,50.845532,6.26969,48968.876,9876,4,307794.50071255374,5636200.119994023,52259.7,157.56,48968.86101225285,161.07200000000012,5
23,23,50.845502,6.269604,48934.713,9888,4,307788.3241589482,5636197.008588694,52271.7,157.74,48934.69387515261,126.90900000000693,5
24,24,50.845435,6.26952,48933.617,9901,4,307782.1362427246,5636189.778498665,52284.7,158.0,48933.59188480112,125.81300000000192,5
25,25,50.845354,6.269485,48974.939,9912,4,307779.33968182735,5636180.864408343,52295.7,158.09,48974.91178811017,167.13500000000204,5
26,26,50.845271,6.269457,48918.2,9925,4,307777.0275954189,5636171.7097468665,52308.7,158.1,48918.172589294016,110.39600000000064,5
27,27,50.845184,6.269414,48934.657,9937,4,307773.6432553308,5636162.149432722,52320.7,158.15,48934.628427975214,126.8530000000028,5
28,28,50.84511,6.269204,48958.203,9953,4,307758.55776127934,5636154.469150023,52336.7,158.34,48958.170034151015,150.3990000000049,5
29,29,50.845057,6.269038,48975.54,9966,4,307746.65560268715,5636149.009034273,52349.7,158.43,48975.504946969755,167.73600000000442,5
30,30,50.845001,6.268878,48912.468,9978,4,307735.1634023222,5636143.199797219,52361.7,158.99,48912.420094477435,104.66400000000431,5
31,31,50.844885,6.268735,48937.675,10005,4,307724.62099285563,5636130.675803727,52388.7,159.29,48937.620156783385,129.87100000000646,5
