x,y,ele,time,name,group
6.268735,50.844885,155.578857,2022/07/09 13:17:16+00,882,5
6.268878,50.845001,155.050507,2022/07/09 13:16:46+00,881,5
6.269038,50.845057,154.771683,2022/07/09 13:16:31+00,880,5
6.269204,50.84511,155.058914,2022/07/09 13:16:19+00,879,5
6.269414,50.845184,155.364365,2022/07/09 13:16:04+00,878,5
6.269457,50.845271,155.359497,2022/07/09 13:15:50+00,877,5
6.269485,50.845354,155.426544,2022/07/09 13:15:37+00,876,5
6.26952,50.845435,155.016052,2022/07/09 13:15:25+00,875,5
6.269604,50.845502,155.938248,2022/07/09 13:15:14+00,874,5
6.26969,50.845532,155.092209,2022/07/09 13:15:00+00,873,5
6.269678,50.845613,155.46373,2022/07/09 13:14:43+00,872,5
6.269633,50.845738,154.416275,2022/07/09 13:14:24+00,871,5
6.269446,50.845823,154.928299,2022/07/09 13:14:01+00,870,5
6.268945,50.846036,155.579849,2022/07/09 13:13:24+00,869,5
6.268519,50.846262,155.366486,2022/07/09 13:12:53+00,868,5
6.268331,50.846386,156.646912,2022/07/09 13:09:39+00,867,5
6.267029,50.844227,159.559616,2022/07/09 13:05:20+00,866,5
6.266801,50.844486,159.222443,2022/07/09 13:04:54+00,865,5
6.266652,50.84467,159.186417,2022/07/09 13:04:33+00,864,5
6.266515,50.844851,158.542664,2022/07/09 13:04:14+00,863,5
6.26637,50.845014,159.244308,2022/07/09 13:03:54+00,862,5
6.266263,50.845196,158.923325,2022/07/09 13:03:34+00,861,5
6.266335,50.84545,159.310257,2022/07/09 13:03:10+00,860,5
6.266411,50.845652,159.092728,2022/07/09 13:02:49+00,859,5
6.266578,50.845845,158.331512,2022/07/09 13:02:27+00,858,5
6.266735,50.845983,158.107956,2022/07/09 13:02:07+00,857,5
6.266868,50.846079,158.044891,2022/07/09 13:01:51+00,856,5
6.267043,50.846181,157.725708,2022/07/09 13:01:34+00,855,5
6.267234,50.846286,157.47261,2022/07/09 13:01:11+00,854,5
6.26754,50.846411,157.847916,2022/07/09 13:00:42+00,853,5
6.267648,50.846446,157.955795,2022/07/09 13:00:24+00,852,5
6.268014,50.846621,158.003769,2022/07/09 12:59:32+00,851,5
6.267315,50.844579,161.740173,2022/07/09 12:44:36+00,850,4
6.267491,50.844501,161.998947,2022/07/09 12:44:14+00,849,4
6.267658,50.844541,162.166489,2022/07/09 12:43:59+00,848,4
6.267846,50.84465,162.140564,2022/07/09 12:43:41+00,847,4
6.268021,50.844739,161.658539,2022/07/09 12:43:24+00,846,4
6.268182,50.844847,161.583191,2022/07/09 12:43:06+00,845,4
6.268317,50.844956,161.261978,2022/07/09 12:42:46+00,844,4
6.268451,50.84508,161.115509,2022/07/09 12:42:29+00,843,4
6.268564,50.845227,160.109375,2022/07/09 12:42:09+00,842,4
6.268669,50.845364,160.495956,2022/07/09 12:41:53+00,841,4
6.268786,50.84544,160.300919,2022/07/09 12:41:41+00,840,4
6.268826,50.845612,160.309204,2022/07/09 12:40:45+00,839,4
