station,lat,lon,altitude,magx,magy,magz,mag_abs,mag_abs_std,time,unix_time,mag_count,student_id_list
0,50.84659631,6.267998891,156.5785633,18.81524386,6.620187364,-42.73531941,47.1647147,0.357572052,3193.791,1657359709,70,403196
1,50.84624819,6.268153667,159.4369804,19.91629859,4.171751237,-43.16645971,47.75313181,0.410487459,3808.866,1657360325,70,403196
2,50.84623361,6.268141549,158.6044978,19.85795103,0.499489093,-43.21225363,47.5614939,0.319299845,3857.624,1657360373,70,403196
3,50.84619277,6.268243106,156.691047,17.27563117,-1.283053643,-42.89119742,46.25880666,0.298418944,3968.059,1657360484,70,403196
4,50.84612998,6.268338409,155.6955972,16.87823772,-0.451643855,-43.29352477,46.47166715,0.290549,4055.106,1657360571,70,403196
5,50.84609714,6.268411129,155.5901746,18.65113201,0.343113068,-40.34819478,44.4537971,0.371404879,4166.449,1657360682,70,403196
6,50.8460543,6.268485404,155.9491942,18.84497732,0.880881602,-44.03921291,47.91114862,0.307391485,4289.965,1657360806,70,403196
7,50.84600892,6.268551096,154.4363768,20.08619134,5.165892185,-30.30793904,37.08086886,1.075796726,4411.679,1657360927,70,403196
8,50.84595887,6.268628782,155.1971181,14.19659093,0.626433294,-42.43729749,44.75606292,0.278161419,4539.148,1657361055,70,403196
9,50.8458911,6.268697207,158.3116238,15.55896773,-0.874858173,-41.85583736,44.66508413,0.426846967,4657.079,1657361173,70,403196
10,50.84582494,6.268771603,156.3937551,18.70085117,1.475093712,-43.66537601,47.52583575,0.321965642,4750.106,1657361266,70,403196
11,50.84580626,6.268844399,159.1936105,17.88216032,0.281947388,-43.97491613,47.47377625,0.398230676,4838.826,1657361355,70,403196
12,50.84573513,6.268894817,158.5812831,16.67466371,-0.8835031,-43.5044687,46.60077956,0.322336464,4963.52,1657361479,70,403196
13,50.84567277,6.268948336,155.96884,14.13794696,-0.250787001,-43.30206293,45.55704427,0.333330701,5062.739,1657361578,70,403196
14,50.84562052,6.269006907,159.1332465,18.06940517,1.651157502,-42.99080118,46.66460898,0.355865593,5140.925,1657361657,0,403196
15,50.84564379,6.268844017,157.7623758,16.38504876,-0.90220959,-41.86889997,44.9836313,0.527014512,5163.058,1657361679,70,403196
16,50.84658437,6.268022843,157.3250941,16.66102582,1.038370361,-44.37933093,47.41801251,0.441114361,5256.306,1657361772,70,403196
17,50.84613517,6.268227284,161.087653,8.556749439,-0.405389113,-39.71547056,40.63246302,0.329330224,5619.553,1657362135,70,403196
18,50.84610342,6.268228373,161.1987271,13.62735243,0.00382482,-46.3934657,48.35691485,0.531240286,5899.846,1657362416,70,403196
19,50.84609776,6.268227285,160.5990211,17.04110601,-2.814841686,-44.49634563,47.73244662,0.288396309,6004.219,1657362520,70,403196
20,50.84609513,6.268228081,160.5862363,16.36687779,-2.330051618,-44.53234476,47.50347225,0.383812206,6139.848,1657362656,70,403196
21,50.84593346,6.268304177,157.523329,16.3308307,-2.048430109,-44.31231259,47.27130765,0.303731841,6255.007,1657362771,70,403196
22,50.84572849,6.268612962,163.3468779,17.67313742,-2.537194572,-44.12179947,47.59917761,0.307693934,6375.343,1657362891,70,403196
23,50.84572809,6.268613758,163.319041,16.49421056,-2.226382136,-44.62534485,47.63199103,0.336431561,6622.437,1657363138,70,403196
24,50.84579973,6.268557868,160.67749,18.77066065,-0.373807929,-43.5080519,47.38702393,0.28969297,6721.042,1657363237,70,403196
25,50.84580037,6.268557458,161.0073359,26.68925171,-0.581624649,-39.3015467,47.52816941,1.392821287,6817.616,1657363333,70,403196
26,50.84580193,6.268556749,160.9923866,17.21292305,-1.989857798,-43.38458012,46.71799316,0.34822629,6909.551,1657363425,70,403196
27,50.84589162,6.268478299,160.6173056,19.91375618,-3.529633916,-37.92100945,43.00031902,0.811706309,6994.369,1657363510,70,403196
28,50.84596225,6.268407393,161.9389067,17.95138787,-2.421664296,-43.564131,47.1814385,0.272620319,7088.79,1657363604,70,403196
29,50.84596618,6.268403121,161.7005937,18.52672988,-1.060856994,-44.48065447,48.19800938,0.25420065,7182.306,1657363698,70,403196
30,50.84608003,6.268208787,161.1131118,20.18823321,-0.236475751,-43.8728823,48.29674274,0.406889152,7301.512,1657363817,70,403196
31,50.84656669,6.268029294,159.5464521,18.49154927,-3.853977922,-47.07654735,50.73286373,0.431580519,7425.166,1657363941,70,403196
32,50.84607855,6.268215349,157.121208,19.99816251,1.56020281,-43.66242561,48.0508558,0.291642317,7680.966,1657364197,70,403196
33,50.84607804,6.268210399,157.0461469,19.04987237,-0.38134739,-43.99391779,47.9441506,0.295923073,8012.949,1657364529,70,403196
34,50.84607752,6.268204115,156.8861826,18.38616946,-2.054497422,-44.02020787,47.75244767,0.300038113,8151.11,1657364667,70,403196
35,50.8460793,6.26819809,156.9326055,19.65074046,1.486238113,-43.90250255,48.12448829,0.314797871,8252.686,1657364768,70,403196
36,50.84607933,6.268194011,158.0995224,19.41683549,1.166064041,-44.21464462,48.30562101,0.273323716,8371.642,1657364887,70,403196
