,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,field_alt,anomaly,name
0,0,0.0,50.84656343,6.267964259,156.7708393,19.77667743,0.741643786,-44.38438078,48740.07775,0.317015034,1390.577,1657360123.0,70.0,428426.0,307677.2756641201,5636319.282864889,42523.0,156.91,48740.07775,-52.21522499999992,428426
1,1,1.0,50.846235,6.268151667,155.9865883,19.60547965,-0.828928627,-43.90842394,48095.59201,0.300798485,1677.774,1657360411.0,70.0,428426.0,307689.1152472121,5636282.281474592,42811.0,158.1,48095.56506023219,-696.7009649999964,428426
2,2,2.0,50.84616833,6.26823,153.5863759,19.16839352,-1.531352241,-44.08493663,48097.68546,0.351336301,1783.107,1657360516.0,70.0,428426.0,307694.35447285423,5636274.665414417,42916.0,158.49,48097.64967640225,-694.607514999996,428426
3,3,3.0,50.84610167,6.268338333,151.3861441,19.33102616,-0.460192588,-44.29504776,48334.770749999996,0.309377241,1890.304,1657360623.0,70.0,428426.0,307701.7053145949,5636266.972345735,43023.0,158.69,48334.73023812196,-457.5222250000006,428426
4,4,4.0,50.84609,6.26842,153.3860629,18.82377082,0.16009309,-43.8029298,47678.136549999996,0.368244244,1998.564,1657360731.0,70.0,428426.0,307707.40546900086,5636265.46225742,43131.0,158.49,47678.10107853721,-1114.156425000001,428426
5,5,5.0,50.84602333,6.268488333,152.885857,18.66496135,-3.512869474,-43.86036775,47804.43322,0.29046856,2114.465,1657360847.0,70.0,428426.0,307711.9408853894,5636257.872257287,43247.0,158.71,47804.39270243041,-987.8597549999977,428426
6,6,6.0,50.84601,6.268546667,154.7857869,18.82730936,-2.350018178,-44.40465731,48289.75176,0.343215589,2230.866,1657360964.0,70.0,428426.0,307715.9919212619,5636256.238388153,43364.0,158.57,48289.714014447374,-502.54121499999746,428426
7,7,7.0,50.84595167,6.268653333,155.9855764,17.94693007,-1.770421587,-43.9221041,47481.85599,0.332370328,2369.031,1657361102.0,70.0,428426.0,307723.2597493856,5636249.475782417,43502.0,158.85,47481.812615737304,-1310.4369850000003,428426
8,8,8.0,50.845865,6.268691667,154.8853414,18.2725656,-1.700854133,-44.25498924,47910.95074,0.316783274,2472.795,1657361206.0,70.0,428426.0,307725.6014492217,5636239.740404086,43606.0,159.34,47910.89591941257,-881.3422349999964,428426
9,9,9.0,50.845835,6.268778333,157.5852126,18.54456182,-1.875128174,-43.63453827,47450.28468999999,0.319281217,2566.723,1657361300.0,70.0,428426.0,307731.5781117774,5636236.179483737,43700.0,159.21,47450.23330110272,-1342.0082850000035,428426
10,10,10.0,50.84578667,6.268853333,155.7850468,18.31411514,-1.928176497,-44.93630224,48564.90364,0.36095682,2649.3,1657361382.0,70.0,428426.0,307736.6582785815,5636230.611102236,43782.0,159.17,48564.85195867779,-227.38933499999985,428426
11,11,11.0,50.84573,6.268911667,158.0848716,18.15136008,-0.251970611,-44.20664422,47790.094269999994,0.322208866,2782.613,1657361515.0,70.0,428426.0,307740.5311077802,5636224.158916356,43915.0,159.19,47790.04296314701,-1002.1987050000025,428426
12,12,12.0,50.84568,6.268998333,154.9846943,18.84092969,-1.438135227,-44.90539098,48720.16498,0.352680587,2878.792,1657361612.0,70.0,428426.0,307746.4255512996,5636218.374508249,44012.0,159.2,48720.112445225306,-72.12799499999528,428426
13,13,13.0,50.84562167,6.269015,155.6845421,17.77549041,-1.895645882,-44.18726305,47667.49235,0.353458739,2980.6,1657361713.0,70.0,428426.0,307747.3588017304,5636211.846260514,44113.0,158.88,47667.448132802165,-1124.8006249999962,428426
14,14,14.0,50.84564333,6.26887,155.7846885,17.23371149,0.386531319,-45.24556694,48419.55201,0.313514312,3081.201,1657361814.0,70.0,428426.0,307737.24190551945,5636214.631841646,44214.0,159.63,48419.48999564175,-372.74096499999723,428426
15,15,15.0,50.84658667,6.268023333,151.287524,18.41579206,-1.391055264,-45.71172382,49303.194859999996,0.429143142,3434.384,1657362167.0,70.0,428426.0,307681.5291702391,5636321.71271981,44567.0,156.78,49303.197878014944,510.9018849999993,428426
16,16,16.0,50.84612,6.268215,153.0862685,18.79991583,-1.086483414,-43.66807513,47557.12754,0.300155406,3724.388,1657362457.0,70.0,428426.0,307693.09988648817,5636269.331377762,44857.0,159.44,47557.07088493461,-1235.1654349999953,428426
17,17,17.0,50.84604333,6.268223333,153.5860772,19.20319331,-1.111723045,-44.56352528,48538.86877,0.333093299,3834.507,1657362567.0,70.0,428426.0,307693.3710213716,5636260.785867819,44967.0,159.98,48538.79860337928,-253.4242049999957,428426
