"station","lat","lon","altitude","mag_x_","mag_y","mag_z","mag_abs","mag_abs_std","time","unix_time","mag_count","student_id"
0.000000000E0,5.078990932E1,6.052093937E0,1.995563663E2,1.714278205E1,-1.949069786E0,-4.526015843E1,4.843974882E1,2.479919079E-1,6.906700000E1,1.656332075E9,7.000000000E1,1.111110000E5
1.000000000E0,5.078984218E1,6.052318407E0,1.977453692E2,1.614099015E1,-1.605669357E0,-4.588085093E1,4.866560762E1,3.205966152E-1,1.413330000E2,1.656332147E9,7.000000000E1,1.111110000E5
2.000000000E0,5.078985488E1,6.052400843E0,1.978959472E2,1.826265888E1,3.349937453E0,-4.490920050E1,4.859905842E1,3.023150967E-1,1.758650000E2,1.656332181E9,7.000000000E1,1.111110000E5
3.000000000E0,5.078990161E1,6.052458724E0,1.970556833E2,1.622337779E1,1.876468243E0,-4.571615731E1,4.855003956E1,3.007863730E-1,2.199490000E2,1.656332225E9,7.000000000E1,1.111110000E5
4.000000000E0,5.078985747E1,6.052535709E0,1.958361990E2,1.724156769E1,1.766314016E0,-4.529998703E1,4.850695899E1,3.252988470E-1,2.761270000E2,1.656332282E9,7.000000000E1,1.111110000E5
5.000000000E0,5.078977146E1,6.052505367E0,1.956763575E2,1.757149203E1,2.600437525E0,-4.510696972E1,4.848038635E1,2.855900560E-1,3.385130000E2,1.656332344E9,7.000000000E1,1.111110000E5
6.000000000E0,5.078971865E1,6.052502424E0,1.967404974E2,1.777375924E1,7.712366615E-1,-4.549238532E1,4.885036975E1,2.863965042E-1,3.932620000E2,1.656332399E9,7.000000000E1,1.111110000E5
7.000000000E0,5.078979058E1,6.052547701E0,1.957374422E2,1.669562067E1,1.158435890E0,-4.573299353E1,4.870161792E1,2.424608030E-1,4.394480000E2,1.656332445E9,7.000000000E1,1.111110000E5
8.000000000E0,5.078982555E1,6.052595199E0,1.949059712E2,1.914880210E1,-4.413443710E-1,-4.465630146E1,4.859952747E1,2.891603658E-1,4.780580000E2,1.656332484E9,5.100000000E1,1.111110000E5
9.000000000E0,5.078966636E1,6.052488832E0,1.931960914E2,2.241728191E1,-3.492372469E0,-4.291981207E1,4.855232795E1,3.682118042E-1,5.541480000E2,1.656332560E9,7.000000000E1,1.111110000E5
1.000000000E1,5.078969048E1,6.052506740E0,1.935887452E2,1.753172929E1,1.982879577E0,-4.711930809E1,5.032118269E1,3.399955008E-1,5.921530000E2,1.656332598E9,7.000000000E1,1.111110000E5
1.100000000E1,5.078973512E1,6.052559776E0,1.940110551E2,1.982459883E1,-1.093321013E0,-4.431746107E1,4.857444774E1,3.973743653E-1,6.354780000E2,1.656332641E9,7.000000000E1,1.111110000E5
1.200000000E1,5.078977979E1,6.052597821E0,1.942948971E2,1.757134230E1,-1.171737075E0,-4.526681764E1,4.857618730E1,3.529595429E-1,6.825590000E2,1.656332688E9,7.000000000E1,1.111110000E5
1.300000000E1,5.078983765E1,6.052175066E0,1.957699638E2,1.639239652E1,8.934499536E-1,-4.549965003E1,4.837257669E1,3.594676070E-1,7.714800000E2,1.656332777E9,7.000000000E1,1.111110000E5
1.400000000E1,5.078991980E1,6.052042060E0,1.969253745E2,1.772117449E1,6.072045905E-1,-4.498279441E1,4.836243907E1,3.164308609E-1,9.038930000E2,1.656332909E9,7.000000000E1,1.111110000E5
1.500000000E1,5.079000305E1,6.052084032E0,1.985494851E2,1.986424250E1,1.047997509E0,-4.395133111E1,4.825209721E1,3.524894446E-1,9.468690000E2,1.656332952E9,7.000000000E1,1.111110000E5
1.600000000E1,5.079004991E1,6.052138743E0,1.989415752E2,1.733279882E1,3.025674411E0,-4.496516658E1,4.829202510E1,3.464795103E-1,9.982310000E2,1.656333004E9,7.000000000E1,1.111110000E5
1.700000000E1,5.079010878E1,6.052199287E0,1.980233012E2,1.594742278E1,5.856082133E-1,-4.563200013E1,4.835516570E1,3.017160605E-1,1.052163000E3,1.656333058E9,7.000000000E1,1.111110000E5
