,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,mag_abs,mag_abs_std,time,unix_time,mag_count,student_id_list
0,0,0.0,50.84635667,6.268003949,154.2378508,19.77661792,3.330141837,-45.39530934,49.62977889,0.345227973,63.926,1657366776.0,70.0,300724.0
1,1,1.0,50.84632,6.267582149,153.4464667,22.0729826,3.022302907,-43.06441313,48.80670891,0.584722548,199.908,1657366912.0,70.0,300724.0
2,2,2.0,50.84625667,6.267540714,155.695702,22.2710674,4.335952847,-45.10964672,50.51637421,0.394561935,287.516,1657366999.0,70.0,300724.0
3,3,3.0,50.84620667,6.267480323,156.8893755,19.24308831,4.548468133,-48.78949073,52.75717283,0.366518605,355.592,1657367067.0,70.0,300724.0
4,4,4.0,50.84616333,6.267471018,158.9846048,17.69091372,-3.367990773,-45.55838705,48.99645576,0.300891319,425.577,1657367137.0,70.0,300724.0
5,5,5.0,50.846105,6.267372513,157.8159548,17.56164596,5.073811013,-46.29818513,49.79352362,0.316554088,487.225,1657367199.0,70.0,300724.0
6,6,6.0,50.846045,6.267335333,157.858031,22.59835426,3.996011523,-44.13355152,49.76506887,0.352508259,553.062,1657367265.0,70.0,300724.0
7,7,7.0,50.84599,6.267264058,157.0888358,21.43989092,4.947442477,-44.18043796,49.61132627,0.395714996,630.671,1657367342.0,70.0,300724.0
8,8,8.0,50.84591833,6.267168218,155.7463129,17.94506899,1.372247349,-45.91479301,49.33664676,0.305698058,714.145,1657367426.0,70.0,300724.0
9,9,9.0,50.845855,6.267097478,155.9429307,21.22011228,-9.357743066,-42.66716445,48.57700124,0.321823563,816.608,1657367528.0,70.0,300724.0
10,10,10.0,50.845815,6.267044629,157.2565763,12.06683201,0.983973762,-47.53641074,49.06531601,0.37888301,919.019,1657367631.0,70.0,300724.0
11,11,11.0,50.84575833,6.267018888,158.0046875,18.54162912,3.461706775,-45.33433206,49.2637352,0.394564677,1009.825,1657367722.0,70.0,300724.0
13,13,13.0,50.84568667,6.266902587,159.3597414,19.90564398,-0.506154772,-44.90503431,49.19866573,0.342625464,1090.677,1657367802.0,70.0,300724.0
14,14,14.0,50.84563167,6.266842188,158.0280501,19.51573168,-4.650116035,-45.95793364,50.15117662,0.327287454,1279.871,1657367992.0,70.0,300724.0
15,15,15.0,50.84556,6.266795914,157.7276772,22.21724404,3.88509076,-45.19565075,50.52249282,0.34208027,1375.798,1657368088.0,70.0,300724.0
16,16,16.0,50.84550833,6.266735764,157.8066685,14.58108108,0.389287431,-48.94526024,51.07518888,0.421712619,1412.336,1657368124.0,70.0,300724.0
17,17,17.0,50.84544667,6.266696735,159.0797869,18.27577956,4.449565411,-45.71913507,49.5057566,0.305017366,1450.237,1657368162.0,70.0,300724.0
18,18,18.0,50.84539139,6.266718168,158.4744147,19.69310463,1.430026715,-45.78465091,49.86425999,0.325658054,1490.121,1657368202.0,70.0,300724.0
19,19,19.0,50.84531796,6.266748242,157.6277347,11.87510293,2.753222343,-48.15071656,49.6884122,0.325298965,1545.188,1657368257.0,70.0,300724.0
20,20,20.0,50.84526185,6.266990993,156.4973019,17.48989582,-0.839214422,-46.40061378,49.61006306,0.358851929,1586.542,1657368298.0,70.0,300724.0
21,21,21.0,50.84521472,6.266961568,156.666622,19.20836702,-1.915935605,-45.57830958,49.54682268,0.2731774,1691.471,1657368403.0,70.0,300724.0
22,22,22.0,50.84514833,6.266997855,156.3639249,21.74629765,0.99524531,-44.56536277,49.63303833,0.352066025,1735.965,1657368448.0,70.0,300724.0
23,23,23.0,50.845065,6.267058535,155.8586943,17.72338178,-3.118566477,-45.88379691,49.29655446,0.373038217,1772.939,1657368485.0,70.0,300724.0
24,24,24.0,50.84501833,6.267154982,156.1095431,18.42859988,-2.884557748,-45.44299611,49.2383607,0.337822882,1815.614,1657368527.0,70.0,300724.0
25,25,25.0,50.84492167,6.267185557,156.3824014,14.6643984,-2.729353852,-46.72687449,49.06520299,0.348305029,1875.145,1657368587.0,70.0,300724.0
26,26,26.0,50.844875,6.267250321,157.6765959,19.0930121,0.280793757,-45.42997796,49.2884261,0.33760917,1915.596,1657368627.0,70.0,300724.0
27,27,27.0,50.84479667,6.267303719,157.4444628,16.00531056,-1.701274238,-46.22404823,48.95477262,0.287026398,1959.454,1657368671.0,70.0,300724.0
28,28,28.0,50.84475,6.267426851,159.1922768,18.57493055,2.654862108,-45.83276765,49.54571261,0.360042282,2006.445,1657368718.0,70.0,300724.0
29,29,29.0,50.84468667,6.267412087,159.0653854,15.85824356,-2.270072377,-46.5486345,49.2352817,0.307098299,2054.794,1657368767.0,70.0,300724.0
30,30,30.0,50.84463833,6.267455588,159.4906641,15.76597069,-0.602843632,-47.08202842,49.66708488,0.281935068,2093.11,1657368805.0,70.0,300724.0
31,31,31.0,50.84457,6.267494672,158.4308885,21.84227265,-0.192441079,-44.74542465,49.82454621,0.347286375,2132.531,1657368844.0,70.0,300724.0
32,32,32.0,50.84465833,6.267548275,159.3459952,20.8043857,-0.691882934,-45.22631444,49.78832746,0.279551293,2170.747,1657368883.0,70.0,300724.0
33,33,33.0,50.84474667,6.267627248,159.2375366,20.87393731,2.800016083,-45.55008283,50.19961488,0.309492845,2229.321,1657368941.0,70.0,300724.0
34,34,34.0,50.84482667,6.267699394,159.2995315,19.84991237,-1.358779037,-45.69712514,49.84900851,0.341722022,2265.336,1657368977.0,70.0,300724.0
35,35,35.0,50.844915,6.267763402,158.8469592,20.4692131,-2.022355138,-45.00597758,49.53047638,0.338047864,2302.127,1657369014.0,70.0,300724.0
36,36,36.0,50.84497491,6.267825871,160.5792181,18.62630792,-3.54248727,-45.54478558,49.37176993,0.298126707,2332.691,1657369045.0,70.0,300724.0
37,37,37.0,50.84504833,6.267895175,158.343238,18.88263066,-1.495985743,-45.65688013,49.46875981,0.31945656,2371.941,1657369084.0,70.0,300724.0
39,39,39.0,50.84519,6.268003028,161.7383201,15.5025989,-0.585671714,-46.8145201,49.34125693,0.279172076,2406.137,1657369118.0,70.0,300724.0
40,40,40.0,50.84526667,6.268020323,162.4698007,19.63553279,-1.492358504,-45.46053004,49.55761566,0.329540551,2447.032,1657369159.0,70.0,300724.0
41,41,41.0,50.84533833,6.267920513,162.552362,19.1751411,3.683366755,-45.77348965,49.82478174,0.296123198,2483.852,1657369196.0,70.0,300724.0
42,42,42.0,50.84545157,6.267854161,161.5971567,19.14760303,4.096383095,-45.80199509,49.81641224,0.342452535,2521.787,1657369234.0,70.0,300724.0
43,43,43.0,50.84557667,6.267911412,161.0842428,21.9805057,-1.921179618,-44.37055757,49.56239504,0.312151223,2554.832,1657369267.0,70.0,300724.0
44,44,44.0,50.84567833,6.267943734,160.5657012,19.45383908,0.384303352,-45.61884668,49.60055923,0.312596285,2590.283,1657369302.0,70.0,300724.0
45,45,45.0,50.84571954,6.267983419,158.7889523,19.81446803,4.027865069,-45.45564815,49.75563829,0.340884195,2626.417,1657369338.0,70.0,300724.0
46,46,46.0,50.8457,6.268021267,157.1540477,15.99924398,-0.556761994,-46.65092964,49.32868603,0.31773516,2658.284,1657369370.0,70.0,300724.0
47,47,47.0,50.845465,6.268102851,157.9259035,18.19377847,-6.42821957,-44.80554548,48.8077798,0.347334124,2695.59,1657369407.0,70.0,300724.0
48,48,48.0,50.84555,6.268145929,158.9923812,17.81564544,-0.697959665,-45.79993014,49.17280704,0.339288541,2732.071,1657369444.0,70.0,300724.0
49,49,49.0,50.84561,6.268238921,158.8167294,17.61541371,0.553381205,-46.14117715,49.41183063,0.282251333,2775.094,1657369487.0,70.0,300724.0
50,50,50.0,50.845695,6.268330115,158.1241693,15.84411924,-0.754348207,-46.62556577,49.25294669,0.368083569,2812.095,1657369524.0,70.0,300724.0
52,52,52.0,50.84585,6.268484874,158.519379,15.96335771,1.502285378,-46.0526044,48.86118524,0.778954065,2856.371,1657369568.0,70.0,300724.0
