,x,y,z,data,atpole
0,-2000.0,-2000.0,-150.0,4.66948074977,-3.63127325653
1,-2000.0,-1897.43589744,-150.0,5.3961035525,-3.41856936089
2,-2000.0,-1794.87179487,-150.0,6.20135898268,-3.34009929456
3,-2000.0,-1692.30769231,-150.0,7.09010352043,-3.40640138822
4,-2000.0,-1589.74358974,-150.0,8.06631758091,-3.56860822271
5,-2000.0,-1487.17948718,-150.0,9.13260550194,-3.72937638526
6,-2000.0,-1384.61538462,-150.0,10.2895610419,-3.78353569326
7,-2000.0,-1282.05128205,-150.0,11.534988448,-3.66836983408
8,-2000.0,-1179.48717949,-150.0,12.8629841319,-3.39446304732
9,-2000.0,-1076.92307692,-150.0,14.2629100581,-3.03916367202
10,-2000.0,-974.358974359,-150.0,15.7183301631,-2.70822774972
11,-2000.0,-871.794871795,-150.0,17.2060365167,-2.4895753714
12,-2000.0,-769.230769231,-150.0,18.6953585906,-2.42371578768
13,-2000.0,-666.666666667,-150.0,20.1480141711,-2.50075362076
14,-2000.0,-564.102564103,-150.0,21.5187992456,-2.67728721818
15,-2000.0,-461.538461538,-150.0,22.7573903766,-2.89914420394
16,-2000.0,-358.974358974,-150.0,23.8114084848,-3.11885375017
17,-2000.0,-256.41025641,-150.0,24.6306487451,-3.30382032762
18,-2000.0,-153.846153846,-150.0,25.172045709,-3.43647643501
19,-2000.0,-51.2820512821,-150.0,25.4046086328,-3.50976218801
20,-2000.0,51.2820512821,-150.0,25.3133696587,-3.52147303439
21,-2000.0,153.846153846,-150.0,24.9014630151,-3.4705000204
22,-2000.0,256.41025641,-150.0,24.1898273396,-3.35682669257
23,-2000.0,358.974358974,-150.0,23.2145872853,-3.18534915914
24,-2000.0,461.538461538,-150.0,22.022717153,-2.97176905199
25,-2000.0,564.102564103,-150.0,20.6669187782,-2.74758101212
26,-2000.0,666.666666667,-150.0,19.2006689679,-2.56052783219
27,-2000.0,769.230769231,-150.0,17.6741581641,-2.46691525597
28,-2000.0,871.794871795,-150.0,16.1314880754,-2.51412828603
29,-2000.0,974.358974359,-150.0,14.6091616068,-2.71708451161
30,-2000.0,1076.92307692,-150.0,13.1356688013,-3.03978084451
31,-2000.0,1179.48717949,-150.0,11.7318670516,-3.39653356382
32,-2000.0,1282.05128205,-150.0,10.4118471437,-3.68043366529
33,-2000.0,1384.61538462,-150.0,9.18402759252,-3.80975310681
34,-2000.0,1487.17948718,-150.0,8.05229168094,-3.76780437037
35,-2000.0,1589.74358974,-150.0,7.01705086451,-3.61176127754
36,-2000.0,1692.30769231,-150.0,6.07617353071,-3.44399122981
37,-2000.0,1794.87179487,-150.0,5.22575687002,-3.3629469579
38,-2000.0,1897.43589744,-150.0,4.46074376891,-3.42203902599
39,-2000.0,2000.0,-150.0,3.77539973631,-3.6166125395
40,-1897.43589744,-2000.0,-150.0,4.78690759519,-3.34121103359
41,-1897.43589744,-1897.43589744,-150.0,5.5704430787,-3.16713296773
42,-1897.43589744,-1794.87179487,-150.0,6.44538837773,-3.12991772053
43,-1897.43589744,-1692.30769231,-150.0,7.41884660885,-3.19893037758
44,-1897.43589744,-1589.74358974,-150.0,8.49727191956,-3.29924627057
45,-1897.43589744,-1487.17948718,-150.0,9.68590962948,-3.34496276583
46,-1897.43589744,-1384.61538462,-150.0,10.9880490641,-3.28069184569
47,-1897.43589744,-1282.05128205,-150.0,12.4040581448,-3.10612653624
48,-1897.43589744,-1179.48717949,-150.0,13.9301813469,-2.86902122947
49,-1897.43589744,-1076.92307692,-150.0,15.5571105308,-2.6331226571
50,-1897.43589744,-974.358974359,-150.0,17.268388616,-2.44354316619
51,-1897.43589744,-871.794871795,-150.0,19.038785604,-2.31081999801
52,-1897.43589744,-769.230769231,-150.0,20.8328963403,-2.21871450358
53,-1897.43589744,-666.666666667,-150.0,22.6043379661,-2.14403614378
54,-1897.43589744,-564.102564103,-150.0,24.2960379355,-2.0723645838
55,-1897.43589744,-461.538461538,-150.0,25.8421375604,-2.00183802164
56,-1897.43589744,-358.974358974,-150.0,27.1719075542,-1.93811183976
57,-1897.43589744,-256.41025641,-150.0,28.2157122522,-1.8879564002
58,-1897.43589744,-153.846153846,-150.0,28.9124774503,-1.85602308458
59,-1897.43589744,-51.2820512821,-150.0,29.2174603707,-1.84457358496
60,-1897.43589744,51.2820512821,-150.0,29.1086686335,-1.85408283679
61,-1897.43589744,153.846153846,-150.0,28.5903202352,-1.88357548803
62,-1897.43589744,256.41025641,-150.0,27.6923875664,-1.93070028461
63,-1897.43589744,358.974358974,-150.0,26.4663234283,-1.99156856776
64,-1897.43589744,461.538461538,-150.0,24.9780873568,-2.06038083925
65,-1897.43589744,564.102564103,-150.0,23.3001556305,-2.12995407577
66,-1897.43589744,666.666666667,-150.0,21.5041472085,-2.19516080029
67,-1897.43589744,769.230769231,-150.0,19.6551779179,-2.25939009091
68,-1897.43589744,871.794871795,-150.0,17.8083747961,-2.33943285676
69,-1897.43589744,974.358974359,-150.0,16.0074143444,-2.46130656482
70,-1897.43589744,1076.92307692,-150.0,14.2846215472,-2.64395075108
71,-1897.43589744,1179.48717949,-150.0,12.6620728854,-2.87869505205
72,-1897.43589744,1282.05128205,-150.0,11.1532074244,-3.12073464136
73,-1897.43589744,1384.61538462,-150.0,9.76457888243,-3.30453140505
74,-1897.43589744,1487.17948718,-150.0,8.49751683747,-3.37844982925
75,-1897.43589744,1589.74358974,-150.0,7.34957575738,-3.3378102529
76,-1897.43589744,1692.30769231,-150.0,6.31572760151,-3.23394300025
77,-1897.43589744,1794.87179487,-150.0,5.3893006529,-3.15190898336
78,-1897.43589744,1897.43589744,-150.0,4.56269164347,-3.16997351905
79,-1897.43589744,2000.0,-150.0,3.82788787052,-3.32481467076
80,-1794.87179487,-2000.0,-150.0,4.87382554954,-3.10547731475
81,-1794.87179487,-1897.43589744,-150.0,5.71443182128,-3.00909752406
82,-1794.87179487,-1794.87179487,-150.0,6.66053967992,-3.03211107564
83,-1794.87179487,-1692.30769231,-150.0,7.72204749426,-3.09199296911
84,-1794.87179487,-1589.74358974,-150.0,8.90859392079,-3.09729484925
85,-1794.87179487,-1487.17948718,-150.0,10.2289675123,-3.00035680456
86,-1794.87179487,-1384.61538462,-150.0,11.6902699753,-2.81997951549
87,-1794.87179487,-1282.05128205,-150.0,13.2967708161,-2.61840966617
88,-1794.87179487,-1179.48717949,-150.0,15.0483951412,-2.45132422687
89,-1794.87179487,-1076.92307692,-150.0,16.9388088547,-2.32823027861
90,-1794.87179487,-974.358974359,-150.0,18.9531198664,-2.21020674077
91,-1794.87179487,-871.794871795,-150.0,21.0653167839,-2.04228589543
92,-1794.87179487,-769.230769231,-150.0,23.2357324355,-1.79333027248
93,-1794.87179487,-666.666666667,-150.0,25.4090483182,-1.47515217754
94,-1794.87179487,-564.102564103,-150.0,27.5136112836,-1.13231013218
95,-1794.87179487,-461.538461538,-150.0,29.4630176813,-0.815769443957
96,-1794.87179487,-358.974358974,-150.0,31.1608660703,-0.560703175093
97,-1794.87179487,-256.41025641,-150.0,32.5090987171,-0.379782544596
98,-1794.87179487,-153.846153846,-150.0,33.4193634192,-0.269700542706
99,-1794.87179487,-51.2820512821,-150.0,33.8255312536,-0.22176465557
100,-1794.87179487,51.2820512821,-150.0,33.6944536629,-0.229535484655
101,-1794.87179487,153.846153846,-150.0,33.031921393,-0.292064998322
102,-1794.87179487,256.41025641,-150.0,31.8819451954,-0.414017398617
103,-1794.87179487,358.974358974,-150.0,30.3195357535,-0.602710974398
