station,lat,lon,altitude,mag_x_,mag_y,mag_z,mag_abs,mag_abs_std,time,unix_time,mag_count,student_id
0,50.7753963,6.0977284,136.5906268,-8.610566942,-40.30922087,18.82855952,45.31711056,0.225794741,12.343,1655977901,38,22
1,50.77543118,6.097815641,179.3830795,-8.613220406,-40.47135747,18.66595828,45.39435628,0.245926807,17.091,1655977906,15,22
2,50.77548402,6.098180612,157.4616276,-8.595466031,-40.36609099,18.83321052,45.36632792,0.178567961,23.951,1655977913,18,22
3,50.77553551,6.098122937,157.4617913,-8.734514832,-40.41139078,18.82904156,45.43198808,0.21355318,33.168,1655977922,24,22
4,50.77547919,6.097959196,157.4617543,-8.660299746,-40.38207601,18.81657003,45.38616409,0.183235398,38.641,1655977927,15,22
5,50.77547163,6.097921342,157.4617592,-8.634870635,-40.41505814,18.92373149,45.45525191,0.207830635,41.817,1655977931,9,22
0,50.7755078,6.097878192,136.5908093,-8.504642633,-40.176499,18.77542378,45.15621802,0.177988905,4.385,1655977822,13,11
1,50.77550678,6.097878209,136.5908067,-8.645091602,-40.2995769,18.75985568,45.28742109,0.241695648,8.884,1655977826,14,11
2,50.77548059,6.098007818,136.5906607,-8.53730521,-40.22953796,18.85503694,45.24318728,0.301309988,16.385,1655977834,23,11
3,50.77548836,6.097970218,136.5907035,-8.537392616,-40.19681295,18.82916272,45.20331853,0.228629252,21.241,1655977839,15,11
4,50.77549921,6.097919915,136.5907619,-8.567559242,-40.4179607,18.86859703,45.42213821,0.204968096,24.348,1655977842,9,11
5,50.77549409,6.097874149,136.5907779,-8.475471179,-40.23171319,18.80831824,45.21348021,0.244255557,27.426,1655977845,9,11
