,station,lat,lon,altitude,mag_x_,mag_y,mag_z,field,mag_abs_std,time,unix_time,mag_count,student_id,x,y,times,anomaly,name
0,0.0,50.78990932,6.052093937,199.5563663,17.14278205,-1.949069786,-45.26015843,48439.74882,0.2479919079,69.067,1656332075.0,70.0,111111.0,292232.20567659783,5630605.487428368,51275.0,300.4840968749995,Random
1,1.0,50.78984218,6.052318407,197.7453692,16.14099015,-1.605669357,-45.88085093,48665.60762,0.3205966152,141.333,1656332147.0,70.0,111111.0,292247.72567852517,5630597.39233448,51347.0,502.41346437500033,Random
2,2.0,50.78985488,6.052400843,197.8959472,18.26265888,3.349937453,-44.9092005,48599.05842,0.3023150967,175.865,1656332181.0,70.0,111111.0,292253.591059746,5630598.572430979,51381.0,424.5642545833325,Random
3,3.0,50.78990161,6.052458724,197.0556833,16.22337779,1.876468243,-45.71615731,48550.039560000005,0.300786373,219.949,1656332225.0,70.0,111111.0,292257.8770429854,5630603.60469122,51425.0,360.9218525000033,Random
4,4.0,50.78985747,6.052535709,195.836199,17.24156769,1.766314016,-45.29998703,48506.95899,0.325298847,276.127,1656332282.0,70.0,111111.0,292263.1062037029,5630598.481204993,51482.0,298.8971484374997,Random
5,5.0,50.78977146,6.052505367,195.6763575,17.57149203,2.600437525,-45.10696972,48480.38635,0.285590056,338.513,1656332344.0,70.0,111111.0,292260.5866119823,5630589.004750808,51544.0,251.71860822916642,Random
6,6.0,50.78971865,6.052502424,196.7404974,17.77375924,0.7712366615,-45.49238532,48850.36975,0.2863965042,393.262,1656332399.0,70.0,111111.0,292260.14500418084,5630583.14212261,51599.0,603.422580624996,Random
7,7.0,50.78979058,6.052547701,195.7374422,16.69562067,1.15843589,-45.73299353,48701.61792,0.242460803,439.448,1656332445.0,70.0,111111.0,292263.6545838115,5630591.011312525,51645.0,439.38250208333193,Random
8,8.0,50.78982555,6.052595199,194.9059712,19.1488021,-0.441344371,-44.65630146,48599.52747,0.2891603658,478.058,1656332484.0,51.0,111111.0,292267.15674274554,5630594.765407551,51684.0,324.3302761458326,Random
9,9.0,50.78966636,6.052488832,193.1960914,22.41728191,-3.492372469,-42.91981207,48552.32795,0.3682118042,554.148,1656332560.0,70.0,111111.0,292258.9552919653,5630577.3672409635,51760.0,251.87191072916175,Random
11,11.0,50.78973512,6.052559776,194.0110551,19.82459883,-1.093321013,-44.31746107,48574.447739999996,0.3973743653,635.478,1656332641.0,70.0,111111.0,292264.25950854435,5630584.811863082,51841.0,247.07108916666039,Random
12,12.0,50.78977979,6.052597821,194.2948971,17.5713423,-1.171737075,-45.26681764,48576.1873,0.3529595429,682.559,1656332688.0,70.0,111111.0,292267.1385609687,5630589.670884819,51888.0,233.19004739583033,Random
13,13.0,50.78983765,6.052175066,195.7699638,16.39239652,0.8934499536,-45.49965003,48372.57669,0.359467607,771.48,1656332777.0,70.0,111111.0,292237.60471435555,5630597.29174682,51977.0,0.0,Random
14,14.0,50.7899198,6.05204206,196.9253745,17.72117449,0.6072045905,-44.98279441,48362.43907,0.3164308609,903.893,1656332909.0,70.0,111111.0,292228.59653165174,5630606.7983574625,52109.0,-54.0082462499995,Random
15,15.0,50.79000305,6.052084032,198.5494851,19.8642425,1.047997509,-43.95133111,48252.09721,0.3524894446,946.869,1656332952.0,70.0,111111.0,292231.9234675894,5630615.935267336,52152.0,-178.64129510417115,Random
16,16.0,50.79004991,6.052138743,198.9415752,17.33279882,3.025674411,-44.96516658,48292.0251,0.3464795103,998.231,1656333004.0,70.0,111111.0,292235.98665633984,5630620.990875166,52204.0,-155.99577302083344,Random
17,17.0,50.79010878,6.052199287,198.0233012,15.94742278,0.5856082133,-45.63200013,48355.1657,0.3017160605,1052.163,1656333058.0,70.0,111111.0,292240.51414403797,5630627.36524076,52258.0,-110.80224739584082,Random
18,18.0,50.7900711,6.052270745,196.0746791,18.52220519,-1.11838085,-44.9781298,48660.32388,0.3011776502,1097.54,1656333103.0,70.0,111111.0,292245.3824447049,5630622.975435218,52303.0,179.40003729167074,Random
19,19.0,50.79003966,6.052227593,196.1474097,17.03695008,0.02357285363,-45.5324367,48618.75561,0.2968931752,1148.341,1656333154.0,70.0,111111.0,292242.2021937494,5630619.601566661,52354.0,120.88175260416756,Random
20,20.0,50.78999708,6.052181309,196.6436443,17.33889024,2.9269404,-45.12087784,48427.943040000006,0.2567216504,1197.884,1656333203.0,70.0,111111.0,292238.75182213914,5630614.998069206,52403.0,-86.2161256249965,Random
21,21.0,50.78993585,6.052130882,197.3368823,18.16121633,-0.5526833432,-45.01073281,48545.6719,0.347161845,1248.031,1656333254.0,70.0,111111.0,292234.9267721312,5630608.332897248,52454.0,14.562719687499339,Random
22,22.0,50.78982768,6.052160231,196.2790566,17.60277285,-0.2113864286,-45.25922803,48564.01215,0.2527359555,1347.095,1656333353.0,70.0,111111.0,292236.5151061431,5630596.22509009,52553.0,0.0,Random
23,23.0,50.78977171,6.051919468,198.2413897,18.50893484,-0.3682723863,-43.69877946,47465.09874,0.2956971957,1433.586,1656333439.0,70.0,111111.0,292219.3008675404,5630590.67986102,52639.0,-1127.331222480003,Random
24,24.0,50.78973474,6.052024924,197.0515564,18.46118249,-2.230973016,-45.18504808,48866.45388,0.3384163707,1473.129,1656333479.0,70.0,111111.0,292226.56809545704,5630586.2733715,52679.0,260.8063303200033,Random
25,25.0,50.78970286,6.05209775,196.9471377,17.65120272,2.233444296,-45.10283819,48488.68523,0.3577852234,1512.72,1656333518.0,70.0,111111.0,292231.55855452537,5630582.524494932,52718.0,-129.84946720000153,Random
26,26.0,50.78965495,6.052195324,196.6887088,17.78337073,0.4735424791,-44.89262363,48290.8693,0.3315052487,1564.935,1656333570.0,70.0,111111.0,292238.2218515417,5630576.923981654,52770.0,-344.8482605600002,Random
28,28.0,50.7895998,6.052443564,194.6986491,18.96978337,0.4024380139,-44.54440433,48419.95463,0.3215095944,1654.018,1656333660.0,70.0,111111.0,292255.4701496373,5630570.095012946,52860.0,-245.50250175999827,Random
29,29.0,50.78984823,6.052150582,195.0419662,17.89219775,-0.2530645302,-45.27908047,48687.92703,0.2921580425,1722.263,1656333728.0,70.0,111111.0,292235.926319767,5630598.536768722,52928.0,0.0,Random
30,30.0,50.78963135,6.052451505,193.6949441,19.08774918,-0.5892029967,-45.12290606,48999.73602,0.3072008602,1929.25,1656333935.0,70.0,111111.0,292256.1696664359,5630573.580109649,53135.0,243.4079762399997,Random
