,x,y,z,data,atpole
0,-2000.0,-2000.0,-150.0,-0.0192023938309,0.0313566327881
1,-2000.0,-1897.43589744,-150.0,-0.0205188428276,0.0333412375723
2,-2000.0,-1794.87179487,-150.0,-0.0220391967035,0.0351976625048
3,-2000.0,-1692.30769231,-150.0,-0.0238027518257,0.0376215573582
4,-2000.0,-1589.74358974,-150.0,-0.0258602881212,0.0392598074359
5,-2000.0,-1487.17948718,-150.0,-0.0282828701594,0.0334941305159
6,-2000.0,-1384.61538462,-150.0,-0.0311748167171,0.0102903659032
7,-2000.0,-1282.05128205,-150.0,-0.0346916755674,-0.0329171529143
8,-2000.0,-1179.48717949,-150.0,-0.0390636621625,-0.0795165640879
9,-2000.0,-1076.92307692,-150.0,-0.0446221294963,-0.100420969886
10,-2000.0,-974.358974359,-150.0,-0.051814041543,-0.0875279161763
11,-2000.0,-871.794871795,-150.0,-0.0611416579146,-0.0872728741249
12,-2000.0,-769.230769231,-150.0,-0.0727878187904,-0.182883055578
13,-2000.0,-666.666666667,-150.0,-0.0850219038852,-0.404076505078
14,-2000.0,-564.102564103,-150.0,-0.0879467940396,-0.624347112491
15,-2000.0,-461.538461538,-150.0,-0.0401786529736,-0.562756428928
16,-2000.0,-358.974358974,-150.0,0.202042110017,0.0463006963687
17,-2000.0,-256.41025641,-150.0,0.939953125676,1.20499936823
18,-2000.0,-153.846153846,-150.0,2.08873303404,2.53359761075
19,-2000.0,-51.2820512821,-150.0,2.79526025079,3.43109041247
20,-2000.0,51.2820512821,-150.0,2.76919324792,3.44231551757
21,-2000.0,153.846153846,-150.0,2.01903658644,2.56346532071
22,-2000.0,256.41025641,-150.0,0.86478794498,1.24382244529
23,-2000.0,358.974358974,-150.0,0.152885354293,0.0827988795128
24,-2000.0,461.538461538,-150.0,-0.0666033097816,-0.536894154833
25,-2000.0,564.102564103,-150.0,-0.101824309662,-0.612005587067
26,-2000.0,666.666666667,-150.0,-0.0924964499076,-0.403458006652
27,-2000.0,769.230769231,-150.0,-0.0768857033451,-0.190592536334
28,-2000.0,871.794871795,-150.0,-0.0633457702513,-0.101535348393
29,-2000.0,974.358974359,-150.0,-0.0528876742924,-0.10950491277
30,-2000.0,1076.92307692,-150.0,-0.0449847469475,-0.133083253423
31,-2000.0,1179.48717949,-150.0,-0.0389616966465,-0.125143825008
32,-2000.0,1282.05128205,-150.0,-0.0342780132293,-0.0909296254343
33,-2000.0,1384.61538462,-150.0,-0.0305466180813,-0.0560715761541
34,-2000.0,1487.17948718,-150.0,-0.0274999920514,-0.0350198503829
35,-2000.0,1589.74358974,-150.0,-0.0249549006217,-0.025670460294
36,-2000.0,1692.30769231,-150.0,-0.0227854878728,-0.0210704812965
37,-2000.0,1794.87179487,-150.0,-0.0209045133722,-0.0186186003793
38,-2000.0,1897.43589744,-150.0,-0.0192506890315,-0.0193836819073
39,-2000.0,2000.0,-150.0,-0.0177802323518,-0.023446136146
40,-1897.43589744,-2000.0,-150.0,-0.0207747926706,0.0264038375592
41,-1897.43589744,-1897.43589744,-150.0,-0.0222295679407,0.0220847306095
42,-1897.43589744,-1794.87179487,-150.0,-0.0239252154492,0.0143407965312
43,-1897.43589744,-1692.30769231,-150.0,-0.0259044477509,0.00644963051133
