,x,y,z,data
0,-2000.0,-2000.0,-150.0,-3.52144007297
1,-2000.0,-1897.43589744,-150.0,-3.6458771114
2,-2000.0,-1794.87179487,-150.0,-3.67896773016
3,-2000.0,-1692.30769231,-150.0,-3.59042534819
4,-2000.0,-1589.74358974,-150.0,-3.37979769105
5,-2000.0,-1487.17948718,-150.0,-3.09893268859
6,-2000.0,-1384.61538462,-150.0,-2.83982887676
7,-2000.0,-1282.05128205,-150.0,-2.68323683212
8,-2000.0,-1179.48717949,-150.0,-2.65742907
9,-2000.0,-1076.92307692,-150.0,-2.74252627362
10,-2000.0,-974.358974359,-150.0,-2.89903791536
11,-2000.0,-871.794871795,-150.0,-3.08984918882
12,-2000.0,-769.230769231,-150.0,-3.28824022361
13,-2000.0,-666.666666667,-150.0,-3.47759339611
14,-2000.0,-564.102564103,-150.0,-3.64851017229
15,-2000.0,-461.538461538,-150.0,-3.79606491152
16,-2000.0,-358.974358974,-150.0,-3.9179323175
17,-2000.0,-256.41025641,-150.0,-4.01329308675
18,-2000.0,-153.846153846,-150.0,-4.08220478477
19,-2000.0,-51.2820512821,-150.0,-4.12516161388
20,-2000.0,51.2820512821,-150.0,-4.14270011136
21,-2000.0,153.846153846,-150.0,-4.1350660493
22,-2000.0,256.41025641,-150.0,-4.10206804432
23,-2000.0,358.974358974,-150.0,-4.0432397531
24,-2000.0,461.538461538,-150.0,-3.95833242688
25,-2000.0,564.102564103,-150.0,-3.84807507727
26,-2000.0,666.666666667,-150.0,-3.71516609346
27,-2000.0,769.230769231,-150.0,-3.56557468359
28,-2000.0,871.794871795,-150.0,-3.4103045975
29,-2000.0,974.358974359,-150.0,-3.26760532427
30,-2000.0,1076.92307692,-150.0,-3.16486208211
31,-2000.0,1179.48717949,-150.0,-3.13755415904
32,-2000.0,1282.05128205,-150.0,-3.21999756331
33,-2000.0,1384.61538462,-150.0,-3.42329395404
34,-2000.0,1487.17948718,-150.0,-3.70942860229
35,-2000.0,1589.74358974,-150.0,-3.99206483303
36,-2000.0,1692.30769231,-150.0,-4.18123624702
37,-2000.0,1794.87179487,-150.0,-4.23279636236
38,-2000.0,1897.43589744,-150.0,-4.15568097699
39,-2000.0,2000.0,-150.0,-3.98629173125
40,-1897.43589744,-2000.0,-150.0,-4.05540877692
41,-1897.43589744,-1897.43589744,-150.0,-4.20307926533
42,-1897.43589744,-1794.87179487,-150.0,-4.18123598514
43,-1897.43589744,-1692.30769231,-150.0,-3.89600658697
44,-1897.43589744,-1589.74358974,-150.0,-3.30611394562
45,-1897.43589744,-1487.17948718,-150.0,-2.52008156793
46,-1897.43589744,-1384.61538462,-150.0,-1.78961910517
47,-1897.43589744,-1282.05128205,-150.0,-1.32935128516
48,-1897.43589744,-1179.48717949,-150.0,-1.18097230773
49,-1897.43589744,-1076.92307692,-150.0,-1.26296590635
50,-1897.43589744,-974.358974359,-150.0,-1.47214172072
51,-1897.43589744,-871.794871795,-150.0,-1.73207003735
52,-1897.43589744,-769.230769231,-150.0,-1.99763015143
53,-1897.43589744,-666.666666667,-150.0,-2.24553485358
54,-1897.43589744,-564.102564103,-150.0,-2.46489397148
55,-1897.43589744,-461.538461538,-150.0,-2.65109188282
56,-1897.43589744,-358.974358974,-150.0,-2.80256346618
57,-1897.43589744,-256.41025641,-150.0,-2.9193457153
58,-1897.43589744,-153.846153846,-150.0,-3.00244296193
59,-1897.43589744,-51.2820512821,-150.0,-3.05335926691
60,-1897.43589744,51.2820512821,-150.0,-3.07348898506
61,-1897.43589744,153.846153846,-150.0,-3.06342899085
62,-1897.43589744,256.41025641,-150.0,-3.02256694711
63,-1897.43589744,358.974358974,-150.0,-2.94928478085
64,-1897.43589744,461.538461538,-150.0,-2.84179792677
65,-1897.43589744,564.102564103,-150.0,-2.69938721067
66,-1897.43589744,666.666666667,-150.0,-2.52388810604
67,-1897.43589744,769.230769231,-150.0,-2.32171149663
68,-1897.43589744,871.794871795,-150.0,-2.10710189038
69,-1897.43589744,974.358974359,-150.0,-1.90752900157
70,-1897.43589744,1076.92307692,-150.0,-1.77144445881
71,-1897.43589744,1179.48717949,-150.0,-1.77505721648
72,-1897.43589744,1282.05128205,-150.0,-2.01427766785
73,-1897.43589744,1384.61538462,-150.0,-2.55371215987
74,-1897.43589744,1487.17948718,-150.0,-3.32902638892
75,-1897.43589744,1589.74358974,-150.0,-4.11159168169
76,-1897.43589744,1692.30769231,-150.0,-4.65614519091
77,-1897.43589744,1794.87179487,-150.0,-4.87369368891
78,-1897.43589744,1897.43589744,-150.0,-4.82295839155
79,-1897.43589744,2000.0,-150.0,-4.60724829822
80,-1794.87179487,-2000.0,-150.0,-4.71414631443
81,-1794.87179487,-1897.43589744,-150.0,-4.90669841705
82,-1794.87179487,-1794.87179487,-150.0,-4.78999931473
83,-1794.87179487,-1692.30769231,-150.0,-4.08287463384
84,-1794.87179487,-1589.74358974,-150.0,-2.53829395438
85,-1794.87179487,-1487.17948718,-150.0,-0.356233472014
86,-1794.87179487,-1384.61538462,-150.0,1.66206098186
87,-1794.87179487,-1282.05128205,-150.0,2.86611169637
88,-1794.87179487,-1179.48717949,-150.0,3.2687975761
89,-1794.87179487,-1076.92307692,-150.0,3.18746099297
90,-1794.87179487,-974.358974359,-150.0,2.89013106969
91,-1794.87179487,-871.794871795,-150.0,2.52780787777
92,-1794.87179487,-769.230769231,-150.0,2.17081461548
93,-1794.87179487,-666.666666667,-150.0,1.84760640976
94,-1794.87179487,-564.102564103,-150.0,1.56810630716
95,-1794.87179487,-461.538461538,-150.0,1.33505474985
96,-1794.87179487,-358.974358974,-150.0,1.14854769905
97,-1794.87179487,-256.41025641,-150.0,1.00734011495
98,-1794.87179487,-153.846153846,-150.0,0.909012330265
99,-1794.87179487,-51.2820512821,-150.0,0.850230219777
100,-1794.87179487,51.2820512821,-150.0,0.827745955247
101,-1794.87179487,153.846153846,-150.0,0.839990544527
102,-1794.87179487,256.41025641,-150.0,0.88825191275
103,-1794.87179487,358.974358974,-150.0,0.976412049483
104,-1794.87179487,461.538461538,-150.0,1.10928069218
105,-1794.87179487,564.102564103,-150.0,1.29045962176
106,-1794.87179487,666.666666667,-150.0,1.52030113214
107,-1794.87179487,769.230769231,-150.0,1.79331751307
108,-1794.87179487,871.794871795,-150.0,2.09317111622
109,-1794.87179487,974.358974359,-150.0,2.38208716017
110,-1794.87179487,1076.92307692,-150.0,2.58003442569
111,-1794.87179487,1179.48717949,-150.0,2.5305833577
112,-1794.87179487,1282.05128205,-150.0,1.97248963661
113,-1794.87179487,1384.61538462,-150.0,0.619399168829
114,-1794.87179487,1487.17948718,-150.0,-1.48449128019
115,-1794.87179487,1589.74358974,-150.0,-3.6473923041
116,-1794.87179487,1692.30769231,-150.0,-5.09081233597
117,-1794.87179487,1794.87179487,-150.0,-5.66927007213
118,-1794.87179487,1897.43589744,-150.0,-5.66486822783
119,-1794.87179487,2000.0,-150.0,-5.36978578892
120,-1692.30769231,-2000.0,-150.0,-5.53007479767
121,-1692.30769231,-1897.43589744,-150.0,-5.82367181626
122,-1692.30769231,-1794.87179487,-150.0,-5.59508912624
123,-1692.30769231,-1692.30769231,-150.0,-4.07158220816
124,-1692.30769231,-1589.74358974,-150.0,-0.111810947964
125,-1692.30769231,-1487.17948718,-150.0,6.2183665644
126,-1692.30769231,-1384.61538462,-150.0,11.973972732
127,-1692.30769231,-1282.05128205,-150.0,14.9539731765
128,-1692.30769231,-1179.48717949,-150.0,15.8019442944
129,-1692.30769231,-1076.92307692,-150.0,15.6766026947
130,-1692.30769231,-974.358974359,-150.0,15.2247353441
131,-1692.30769231,-871.794871795,-150.0,14.7142462631
132,-1692.30769231,-769.230769231,-150.0,14.238488891
133,-1692.30769231,-666.666666667,-150.0,13.8230364732
134,-1692.30769231,-564.102564103,-150.0,13.471663784
135,-1692.30769231,-461.538461538,-150.0,13.1832741171
136,-1692.30769231,-358.974358974,-150.0,12.956331437
137,-1692.30769231,-256.41025641,-150.0,12.7886859662
138,-1692.30769231,-153.846153846,-150.0,12.6762253415
139,-1692.30769231,-51.2820512821,-150.0,12.6122609433
140,-1692.30769231,51.2820512821,-150.0,12.5892197938
141,-1692.30769231,153.846153846,-150.0,12.602712259
142,-1692.30769231,256.41025641,-150.0,12.6550981476
143,-1692.30769231,358.974358974,-150.0,12.7550456595
144,-1692.30769231,461.538461538,-150.0,12.9133925671
145,-1692.30769231,564.102564103,-150.0,13.1388754525
146,-1692.30769231,666.666666667,-150.0,13.4357092478
147,-1692.30769231,769.230769231,-150.0,13.80140735
148,-1692.30769231,871.794871795,-150.0,14.2207811228
149,-1692.30769231,974.358974359,-150.0,14.6491161367
150,-1692.30769231,1076.92307692,-150.0,14.9696322849
151,-1692.30769231,1179.48717949,-150.0,14.8935924898
152,-1692.30769231,1282.05128205,-150.0,13.7684148544
153,-1692.30769231,1384.61538462,-150.0,10.4798231409
154,-1692.30769231,1487.17948718,-150.0,4.53286743782
155,-1692.30769231,1589.74358974,-150.0,-1.7280437834
156,-1692.30769231,1692.30769231,-150.0,-5.44771698048
157,-1692.30769231,1794.87179487,-150.0,-6.72177097322
158,-1692.30769231,1897.43589744,-150.0,-6.75050736989
159,-1692.30769231,2000.0,-150.0,-6.30594240634
160,-1589.74358974,-2000.0,-150.0,-6.52606655261
161,-1589.74358974,-1897.43589744,-150.0,-7.03518947937
162,-1589.74358974,-1794.87179487,-150.0,-6.80307958164
163,-1589.74358974,-1692.30769231,-150.0,-4.1015256585
164,-1589.74358974,-1589.74358974,-150.0,5.09942760101
165,-1589.74358974,-1487.17948718,-150.0,22.9415462316
166,-1589.74358974,-1384.61538462,-150.0,38.6649264042
167,-1589.74358974,-1282.05128205,-150.0,45.1397124168
168,-1589.74358974,-1179.48717949,-150.0,46.4849051906
169,-1589.74358974,-1076.92307692,-150.0,46.1570846009
170,-1589.74358974,-974.358974359,-150.0,45.4457004847
171,-1589.74358974,-871.794871795,-150.0,44.7383961853
172,-1589.74358974,-769.230769231,-150.0,44.1234484682
173,-1589.74358974,-666.666666667,-150.0,43.6043722652
174,-1589.74358974,-564.102564103,-150.0,43.171395564
175,-1589.74358974,-461.538461538,-150.0,42.8190762457
176,-1589.74358974,-358.974358974,-150.0,42.5463367418
177,-1589.74358974,-256.41025641,-150.0,42.3524873661
178,-1589.74358974,-153.846153846,-150.0,42.2325212174
179,-1589.74358974,-51.2820512821,-150.0,42.1735225334
180,-1589.74358974,51.2820512821,-150.0,42.1568628903
181,-1589.74358974,153.846153846,-150.0,42.1693667075
182,-1589.74358974,256.41025641,-150.0,42.2152556471
183,-1589.74358974,358.974358974,-150.0,42.314973002
184,-1589.74358974,461.538461538,-150.0,42.492329347
185,-1589.74358974,564.102564103,-150.0,42.764443581
186,-1589.74358974,666.666666667,-150.0,43.1403350479
187,-1589.74358974,769.230769231,-150.0,43.6222521411
188,-1589.74358974,871.794871795,-150.0,44.2013087839
189,-1589.74358974,974.358974359,-150.0,44.8363915989
190,-1589.74358974,1076.92307692,-150.0,45.3876384714
191,-1589.74358974,1179.48717949,-150.0,45.4143063359
192,-1589.74358974,1282.05128205,-150.0,43.582360872
193,-1589.74358974,1384.61538462,-150.0,36.4553183532
194,-1589.74358974,1487.17948718,-150.0,20.2608100793
195,-1589.74358974,1589.74358974,-150.0,2.64029872119
196,-1589.74358974,1692.30769231,-150.0,-5.99636232549
197,-1589.74358974,1794.87179487,-150.0,-8.23586728185
198,-1589.74358974,1897.43589744,-150.0,-8.15588068462
199,-1589.74358974,2000.0,-150.0,-7.43510061183
200,-1487.17948718,-2000.0,-150.0,-7.69097989447
201,-1487.17948718,-1897.43589744,-150.0,-8.57960507036
202,-1487.17948718,-1794.87179487,-150.0,-8.6809285431
203,-1487.17948718,-1692.30769231,-150.0,-5.27909825314
204,-1487.17948718,-1589.74358974,-150.0,10.1746045382
205,-1487.17948718,-1487.17948718,-150.0,45.9074147904
206,-1487.17948718,-1384.61538462,-150.0,76.4264763051
207,-1487.17948718,-1282.05128205,-150.0,86.4672013718
208,-1487.17948718,-1179.48717949,-150.0,87.7345847047
209,-1487.17948718,-1076.92307692,-150.0,86.8876879256
210,-1487.17948718,-974.358974359,-150.0,85.8034342531
211,-1487.17948718,-871.794871795,-150.0,84.8853097352
212,-1487.17948718,-769.230769231,-150.0,84.1431082297
213,-1487.17948718,-666.666666667,-150.0,83.525498383
214,-1487.17948718,-564.102564103,-150.0,83.0052260531
215,-1487.17948718,-461.538461538,-150.0,82.5789986473
216,-1487.17948718,-358.974358974,-150.0,82.2540068236
217,-1487.17948718,-256.41025641,-150.0,82.0384841869
218,-1487.17948718,-153.846153846,-150.0,81.9317117242
219,-1487.17948718,-51.2820512821,-150.0,81.9102686057
220,-1487.17948718,51.2820512821,-150.0,81.9246866982
221,-1487.17948718,153.846153846,-150.0,81.9312277192
222,-1487.17948718,256.41025641,-150.0,81.9382106101
223,-1487.17948718,358.974358974,-150.0,82.0015862644
224,-1487.17948718,461.538461538,-150.0,82.1764941027
225,-1487.17948718,564.102564103,-150.0,82.4913990779
226,-1487.17948718,666.666666667,-150.0,82.9564001371
227,-1487.17948718,769.230769231,-150.0,83.576840579
228,-1487.17948718,871.794871795,-150.0,84.3548850179
229,-1487.17948718,974.358974359,-150.0,85.2687990787
230,-1487.17948718,1076.92307692,-150.0,86.1934725093
231,-1487.17948718,1179.48717949,-150.0,86.6139080355
232,-1487.17948718,1282.05128205,-150.0,84.562391344
233,-1487.17948718,1384.61538462,-150.0,73.3314847125
234,-1487.17948718,1487.17948718,-150.0,41.8294156132
235,-1487.17948718,1589.74358974,-150.0,6.60445088293
236,-1487.17948718,1692.30769231,-150.0,-7.77639938504
237,-1487.17948718,1794.87179487,-150.0,-10.4447894349
238,-1487.17948718,1897.43589744,-150.0,-9.90500545903
239,-1487.17948718,2000.0,-150.0,-8.7400705146
240,-1384.61538462,-2000.0,-150.0,-8.9608976153
241,-1384.61538462,-1897.43589744,-150.0,-10.3676998616
242,-1384.61538462,-1794.87179487,-150.0,-11.2077140809
243,-1384.61538462,-1692.30769231,-150.0,-8.48502487437
244,-1384.61538462,-1589.74358974,-150.0,8.32127656275
245,-1384.61538462,-1487.17948718,-150.0,50.4618001606
246,-1384.61538462,-1384.61538462,-150.0,85.8271100193
247,-1384.61538462,-1282.05128205,-150.0,95.8021589675
248,-1384.61538462,-1179.48717949,-150.0,95.8657648677
249,-1384.61538462,-1076.92307692,-150.0,94.1291213958
250,-1384.61538462,-974.358974359,-150.0,92.6573878239
251,-1384.61538462,-871.794871795,-150.0,91.6553534545
252,-1384.61538462,-769.230769231,-150.0,90.8905280901
253,-1384.61538462,-666.666666667,-150.0,90.213653454
254,-1384.61538462,-564.102564103,-150.0,89.6036949739
255,-1384.61538462,-461.538461538,-150.0,89.0871888585
256,-1384.61538462,-358.974358974,-150.0,88.6982936867
257,-1384.61538462,-256.41025641,-150.0,88.4723178741
258,-1384.61538462,-153.846153846,-150.0,88.4348484707
259,-1384.61538462,-51.2820512821,-150.0,88.5559240952
260,-1384.61538462,51.2820512821,-150.0,88.6946719941
261,-1384.61538462,153.846153846,-150.0,88.682992066
262,-1384.61538462,256.41025641,-150.0,88.5419022294
263,-1384.61538462,358.974358974,-150.0,88.4609856187
264,-1384.61538462,461.538461538,-150.0,88.5783063595
265,-1384.61538462,564.102564103,-150.0,88.923478433
266,-1384.61538462,666.666666667,-150.0,89.4861950007
